,wuu,yue,count
78,底,尾,1
79,拨阿拉,晒俾我地,1
80,侬,你可唔,2
81,考虑,谂,1
82,爽侬,楚你,1
83,哪能样个,啲点嘅,1
84,打算到啊里耷,谂住,1
85,白相呢,边度玩呀,1
86,伊拿,佢将个,1
87,一劈,切开咗,1
88,搿些,呢啲,1
89,是伊拉,系佢哋,1
90,会得,识,1
91,搿,呢间,2
92,间是禁止吃香,唔俾食,1
93,走,行,1
94,搿搭,呢度,3
95,个,到好犀利,1
96,脱懂得,咗识,1
97,还懂得,仲识,1
98,吉,结,1
99,钢,添,1
100,伊会得,佢识唔识,1
101,伐,㗎,2
102,想伊,谂佢,1
103,花,用,1
104,个,粒,1
105,头才好挪工作,先至,1
106,光,得晒啲嘢,1
107,老,真系好,1
108,交关交关,好多好多句,1
109,别个事体,第二啲嘢,1
110,阿拉还是,我哋都系,1
111,决定伐,话事啦,1
112,也,都,1
113,点,咗啲,1
114,快,就快,1
115,榔头,包,1
116,刀纸头,𢱕,1
117,帮侬,同你,1
118,再会了,拜拜喇,1
119,对个,话时话,1
120,桩事体,啲嘢,1
121,跟侬,同你,1
122,个,啲,1
123,了可怜,到阿妈都唔认得,1
124,汤姆,阿Tom,1
125,朝要,日使唔使,1
126,拉,喺,2
127,里向伐,企呀,1
128,告诉,话,1
129,拉阿里搭伐,喺边呀,1
130,电影,套戏,1
131,看伐,唔好睇呀,1
132,啥个水,有咩生,1
133,侬是哪能认得伊个,你点识佢㗎,1
134,伊走,佢行,1
135,个辰光常常拿一,嗰阵成日插,1
136,插拉,落个,1
137,里,度,1
138,暗了麻烦侬,黑啰喎唔该,1
139,色,个,1
140,个房子被,嗰间屋俾人,1
141,脱了,咗喇,1
142,堂,校,2
143,小人比,仔多过,1
144,小人多,仔,1
145,伊每天,佢朝朝,1
146,浪向侪,都,1
147,喝,饮,1
148,垃海搿搭,喺呢度,1
149,了三十,咗卅,1
150,了,喇,3
151,侬告诉了,你话咗俾,1
152,以,听之,1
153,侪晓得搿,先知呢,1
154,得多少重,几咁紧,1
155,搿辰光比,嗰阵仲后生过,1
156,拉姆,我,1
157,跟,同,1
158,欢喜,锺意,1
159,电动个小姑娘,机嘅女仔,1
160,拨我一点,俾啲,1
161,伐,我呀,1
162,间太小了,细得济喇,1
163,勿牢,唔落,1
164,勿用怕伊勿,唔使惊佢唔,1
165,侬个,你嘅,1
166,伊垃海,佢喺,1
167,了交关,咗好多,1
168,礼拜天下半天,星期日晏昼,1
169,来看侬,嚟探你,1
170,侬收作,你执,1
171,物事了伐,晒啲嘢未呀,1
172,喏伊来了,睇吓佢嚟咗喇,1
173,拿手,整好咗只,1
174,当心扒手,因住俾人挞嘢,1
175,搿台子跟阿拉,呢张枱同我哋,1
176,里向个,企嗰张,1
177,请侬拿侬,唔该你话你,1
178,字跟,同,1
179,头告诉,码俾,1
180,里向勿,企唔,1
181,来个,街㗎,1
182,白相勿要吵,玩唔好嘈,1
183,可以了,得喇,1
184,哀个是啥,咩,1
185,音,嚟,1
186,看,睇,2
187,拿,掹咗只,1
188,拔脱,佢,1
189,请侬告诉,唔该你话,1
190,哪能,点,1
191,搿房子里向,呢间屋入面,1
192,少,几,1
193,脱拿,得还返本,1
194,还拨,俾,1
195,箇,嗰,1
196,子是啥人,系边,1
197,勿要边吃物事边,唔好一路食嘢一路,1
198,言话,嘢,1
199,伊老,佢好,1
200,拨伊个爷娘,俾佢阿爸阿妈,1
201,个,本,2
202,垃海阿里搭,喺边,2
203,了忒,得太,1
204,勿懂侬,唔明你可唔,1
205,一眼伐,少少呀,1
206,侬相,你,1
207,也,又,2
208,勿相,唔,1
209,来,嚟,1
210,呒没啥,无咩,1
211,做,发,1
212,也呒没想,都无谂过会喺呢度撞,1
213,会得垃搿耷踫着侬个,你,1
214,年轻个辰光常常,后生嗰阵成日,1
215,开摩托,揸电单,1
216,勿,唔,2
217,是老,好,1
218,垃海,喺阿,1
219,爸,阿,1
220,妈回来,返嚟,1
221,拿房子打扫,执,1
222,眼,啲,2
223,从书高头,喺棵树度跌咗,1
224,了下来,嚟,1
225,阿拉挪,我哋将道,1
226,涂成了,油咗做,1
227,个言,嘅,1
228,踏脚踏,踩单,1
229,司,士,1
230,林,灵,1
231,侬看看侬吃得来整,你睇吓你食到成,1
232,嘴巴侪是个了,口都系喇,1
233,侬,你识唔识讲,2
234,讲得来伐,㗎,2
235,倒下来了拿,冧咗落嚟塞住咗,1
236,伊拿,佢撕烂咗,1
237,勿来自啊,未得住呀,1
238,翻,译多,1
239,哦,先呀,1
240,伊是,佢系,1
241,永远勿要忘,千祈唔好唔,1
242,关,得熄,1
243,滚蛋,死开,1
244,侬开了,你揸得,1
245,看了怨煞了,睇到厌喇,1
246,就,随便,1
247,悉尼,雪梨,2
248,箇墶老,呢度好,2
249,个,㗎喎,2
250,从来呒没看,冇见,1
251,伊穿,佢着,1
252,当辰光勿晓得该哪能办,嗰阵时唔知点做先好,1
253,滚蛋,躝开啦,1
254,伊个,佢嘅,1
255,国闲话,文,1
256,哀个垃海,紧,1
257,男,嗰,1
258,人侪讲,个个都话,1
259,看上起像阿拉爸爸,同我老豆好似样,1
260,垃海浇,喺度帮紧啲,1
261,一点好伐,D啦,1
262,勿是,唔系,1
263,法,术,1
264,侬哪恁勒啦,搞咩呀你,1
265,阿里簿,边本,1
266,是侬额,系你㗎,1
267,钥,梦玩条锁,1
268,孛相勿来个,啦,1
269,个还活个,架,1
270,再会,拜拜,1
271,侬哪能,你点呀,1
272,侬会得,你识唔识,1
273,谢谢侬噢,唔该,1
274,国言话,文,1
275,大利亚,洲,1
276,哴向,上,2
277,言话,文,2
278,侬比,你高过,1
279,侬好伐,你点呀,1
280,侬为啥勿相,你点解唔,1
281,伊拉爷娘,佢阿爸阿妈,1
282,覅隑了,唔好挨埋埲,1
283,头浪,度,1
