,cmn,yue,LV distance score
44,我真想在 Tatoeba 写很多很多的句子不过我有别的事要做,我真系好想喺 Tatoeba 写好多好多句句子但系我有第二啲嘢要做,0.36363636363636365
45,我们还是让老师决定吧,我哋都系等老师话事啦,0.7
46,圣诞节快到了生意也好了点,圣诞节就快到生意都好咗啲,0.4166666666666667
47,剪刀石头布,包剪𢱕,1.0
48,我要和你说再见了,我要同你讲拜拜喇,0.625
49,对了我有一件事要告诉你,话时话我有啲嘢要同你讲,0.8181818181818182
50,这里附近的电话亭少得可怜,呢度附近啲电话亭少到阿妈都唔认得,0.625
51,汤姆今天要留在家中吗,阿 Tom 今日使唔使留喺屋企呀,0.875
52,你可以告诉我我错在哪儿吗,你可唔可以话我知我错喺边呀,0.6923076923076923
53,电影好看吗,套戏好唔好睇呀,0.8571428571428571
54,什么水果是红色的,有咩生果系红色㗎,0.625
55,你是怎么认识她的,你点识佢㗎,0.75
56,他走路时常常把一只手插在裤袋里,佢行路嗰阵成日插只手落个裤袋度,0.6666666666666666
57,天色开始暗了麻烦你帮我开灯,个天开始黑啰喎唔该帮我开咗盏灯佢吖,0.6470588235294118
58,我们以前住的房子被拆毁了,我哋以前住嗰间屋俾人拆咗喇,0.6153846153846154
59,这间学校女孩比男孩多,呢间学校女仔多过男仔,0.6
60,他每天早上都会喝一杯水,佢朝朝早都会饮一杯水,0.45454545454545453
61,我在这里住了三十年了,我喺呢度住咗卅年喇,0.7
62,你告诉了我以后我才知道这份文件有多重要,你话咗俾我听之后我先知呢份文件有几咁紧要,0.55
63,我母亲那时比我还要年轻,我阿妈嗰阵仲后生过我,0.9090909090909091
64,我想和一个喜欢打电动的女孩结婚,我想同一个锺意打机嘅女仔结婚,0.4666666666666667
65,可以再给我一点咖啡吗,可唔可以再俾啲咖啡我呀,0.7272727272727273
66,这房间太小了容纳不下五十人,呢间房细得济喇装唔落五十个人,0.7857142857142857
67,中国是亚洲最大的国家,中国系亚洲最大嘅国家,0.2
68,不用怕他不会伤害你的,唔使惊佢唔会伤害你嘅,0.6
69,她在学校参加了很多活动,佢喺学校参加咗好多活动,0.36363636363636365
70,我星期天下午三时会来看你,我星期日晏昼三点会嚟探你,0.5
71,你收拾好东西了没有,你执好晒啲嘢未呀,0.7777777777777778
72,看她来了,睇吓佢嚟咗喇,1.0
73,他帮我把手表修理好了,佢帮我整好咗只表,0.8
74,这里要小心扒手,呢度要因住俾人挞嘢,0.8888888888888888
75,这桌子和我们家的一样大,呢张枱同我哋屋企嗰张一样大,0.6923076923076923
76,请你把你的名字和电话号码告诉我,唔该你话你个名同电话号码俾我听吖,0.625
77,老实说我其实想留在家中不想出外的,老实讲我其实想留喺屋企唔想出街㗎,0.4375
78,我们可以继续玩别吵到别人就行了,我哋可以继续玩唔好嘈到人就得喇,0.4666666666666667
79,那是什么声音,咩声嚟,0.8333333333333334
80,你应该去看牙医把牙拔掉,你应该去睇牙医掹咗只牙佢,0.5
81,请你告诉我机场怎么去,唔该你话我听机场点去吖,0.7272727272727273
82,这房子里面有多少只猫,呢间屋入面有几多只猫呀,0.6363636363636364
83,别忘了把书还给图书馆,唔好唔记得还返本书俾图书馆喎,0.7142857142857143
84,那本笔记本是谁的,嗰本簿系边个㗎,0.875
85,别边吃东西边说话,唔好一路食嘢一路讲嘢,1.0
86,他很少写信给他的父母,佢好少写信俾佢阿爸阿妈,0.7272727272727273
87,我的书在哪里,我本书喺边,0.6666666666666666
88,你说得太快了我听不懂你可以说慢一点吗,你讲得太快喇我听唔明你可唔可以讲慢少少呀,0.5
89,你相信也好不相信也好对我来说没有什么分别,你信又好唔信又好对我嚟讲无咩分别,0.55
90,我做梦也没有想过会在这里碰到你,我发梦都无谂过会喺呢度撞到你,0.6
91,我年轻的时候常常去打棒球,我后生嗰阵成日去打棒球,0.5833333333333334
92,开摩托车不戴头盔是很危险的,揸电单车唔戴头盔好危险㗎,0.5384615384615384
93,我想在爸爸妈妈回来之前把房子打扫干净,我想喺阿爸阿妈返嚟之前执干净间屋,0.6666666666666666
94,有些苹果从树上掉了下来,有啲苹果喺棵树度跌咗落嚟,0.6666666666666666
95,我们把门涂成了绿色,我哋将道门油咗做绿色,0.6
96,如果不下雨的话你可以去踏单车,如果唔落雨嘅话你可以去踩单车,0.2857142857142857
97,我想买点阿司匹林,我想买啲阿士匹灵,0.375
98,你看你吃得满嘴都是了,你睇吓你食到成个口都系喇,0.75
99,你会说义大利语吗,你识唔识讲意大利文㗎,0.7
100,有棵树倒了下来把路堵住了,有棵树冧咗落嚟塞住咗条路,0.75
101,他把书撕烂了,佢撕烂咗本书,1.0
102,亲爱的 上床吧 不 还不行我在Tatoeba上还必须翻译一些句子,老公上床啦未得住呀我要喺 Tatoeba 翻译多几句句子先呀,0.6875
103,你会说英语吗,你识唔识讲英文㗎,0.75
104,他是个好人,佢系个好人,0.4
105,永远不要忘记关火,千祈唔好唔记得熄火,0.7777777777777778
106,走开,死开,0.5
107,你开得太快了,你揸得太快喇,0.3333333333333333
108,我看电视看到厌烦了,我睇电视睇到厌喇,0.4444444444444444
109,随时问任何问题都可以,有问题随便问,0.8
110,雪梨离这里很远,雪梨离呢度好远㗎喎,0.5555555555555556
111,我从来没有看过他穿牛仔裤,我冇见过佢着牛仔裤,0.5833333333333334
112,京都有许多神社,京都有好多神社,0.14285714285714285
113,那时我不知道该怎么办,我嗰阵时唔知点做先好,1.0
114,滚,躝开啦,1.0
115,她的母语是法语,佢嘅母语系法文,0.5714285714285714
116,那个正在拉小提琴的男人是谁,拉紧小提琴嗰个人系边个嚟㗎,0.9230769230769231
117,每个人都说我看起来像我爸爸,啲人个个都话我同我老豆好似样,0.7857142857142857
118,我在浇花,我喺度帮紧啲花淋水,0.7777777777777778
119,安静,静D啦,1.0
120,我不是魔法师,我唔系魔术师,0.5
121,我的书在哪,我本书喺边,0.6
122,你到底怎么了啊,搞咩呀你,1.0
123,哪本书是您的,边本书系你㗎,0.6666666666666666
124,不要玩钥匙,梦玩条锁匙啦,0.8333333333333334
125,这只老鼠是死还是活的,只老鼠生定死架,0.7
126,再见,拜拜,1.0
127,你们好吗,你点呀,0.75
128,你会说英文吗,你识唔识讲英文㗎,0.625
129,谢谢,唔该,1.0
130,我们学习汉语,我哋学中文,0.6666666666666666
131,悉尼离这里很远,雪梨离呢度好远㗎喎,0.7777777777777778
132,悉尼是澳大利亚最大的城市,悉尼系澳洲最大嘅城市,0.4166666666666667
133,世界上有超过八十万的巴斯克语使用者,世界上有超过八十万人讲巴斯克文,0.35294117647058826
134,世界上有超过八十万的人说巴斯克语,世界上有超过八十万人讲巴斯克文,0.1875
135,你们比我还高,你高过我,0.6666666666666666
136,你好吗,你点呀,0.6666666666666666
137,你们怎么就是没相信我呢,你点解唔信我呀,0.7272727272727273
138,他父母对他怀有过高的期望,佢阿爸阿妈对佢期望过高,0.9166666666666666
139,别倚着墙,唔好挨埋埲墙度,0.8571428571428571
