,wuu,wen,LV distance score
110,悉尼离箇墶老远个,悉尼伉居宕远显远,0.75
111,我从来呒没看过伊穿牛仔裤,我从来冇眙过渠着牛仔裤,0.4166666666666667
112,京都有老多个神社,京都有多显多神社,0.375
113,我当辰光勿晓得该哪能办,我许能届晓否得着訾那能妆,0.75
114,滚蛋,□开哩,1.0
115,伊个母语是法国闲话,渠个母语是法语,0.4444444444444444
116,哀个垃海拉小提琴个男人是啥人,恰是搭拉小提琴个许个男个是乜人啊,0.5625
117,人人侪讲我看上起像阿拉爸爸,每个人沃讲我眙着伉我爸相像,0.8461538461538461
118,我垃海浇花,我是得浇花,0.4
119,静一点好伐,静一厘,0.6
120,我勿是魔法师,我否是魔法师,0.16666666666666666
121,我个书垃海阿里搭,我个书是狃宕啊,0.625
122,侬哪恁勒啦,你到底訾那爻,1.0
123,阿里簿书是侬额,若本书是你个,0.7142857142857143
124,钥匙孛相勿来个,覅狡锁匙,1.0
125,只老鼠死个还活个,居只老鼠是死个还是活个,0.2727272727272727
126,再会,再会,0.0
127,侬哪能,你厘好啊伐,1.0
128,侬会得讲英文伐,你会讲英语啊伐,0.5714285714285714
129,谢谢侬噢,谢谢,0.5
130,阿拉学习中国言话,我厘学习汉语,0.75
131,悉尼离箇墶老远个,悉尼伉居宕死人远,0.75
132,悉尼是澳大利亚最大个城市,悉尼是澳大利亚最大个城市,0.0
133,世界哴向有超过八十万个人讲巴斯克言话,世界上有超过八十万个人用巴斯克话,0.2222222222222222
134,世界哴向有超过八十万个人讲巴斯克言话,世界上有超过八十万个人讲巴斯克话,0.16666666666666666
135,侬比我高,你厘比我还高哩,0.5714285714285714
136,侬好伐,你好啊伐,0.5
137,侬为啥勿相信我,你厘訾那就冇相信我呢,0.7
138,伊拉爷娘对伊期望过高,渠个爸妈对渠期望忒高,0.6
139,覅隑了墙头浪,覅靠墙上赖,0.6666666666666666
