,wen,yue,LV distance score
112,京都有多显多神社,京都有好多神社,0.25
113,我许能届晓否得着訾那能妆,我嗰阵时唔知点做先好,0.9166666666666666
114,□开哩,躝开啦,0.6666666666666666
115,渠个母语是法语,佢嘅母语系法文,0.5714285714285714
116,恰是搭拉小提琴个许个男个是乜人啊,拉紧小提琴嗰个人系边个嚟㗎,0.75
117,每个人沃讲我眙着伉我爸相像,啲人个个都话我同我老豆好似样,0.8571428571428571
118,我是得浇花,我喺度帮紧啲花淋水,0.7777777777777778
119,静一厘,静D啦,0.6666666666666666
120,我否是魔法师,我唔系魔术师,0.5
121,我个书是狃宕啊,我本书喺边,0.7142857142857143
122,你到底訾那爻,搞咩呀你,1.0
123,若本书是你个,边本书系你㗎,0.5
124,覅狡锁匙,梦玩条锁匙啦,0.6666666666666666
125,居只老鼠是死个还是活个,只老鼠生定死架,0.7272727272727273
126,再会,拜拜,1.0
127,你厘好啊伐,你点呀,0.8
128,你会讲英语啊伐,你识唔识讲英文㗎,0.75
129,谢谢,唔该,1.0
130,我厘学习汉语,我哋学中文,0.6666666666666666
131,悉尼伉居宕死人远,雪梨离呢度好远㗎喎,1.0
132,悉尼是澳大利亚最大个城市,悉尼系澳洲最大嘅城市,0.4166666666666667
133,世界上有超过八十万个人用巴斯克话,世界上有超过八十万人讲巴斯克文,0.1875
134,世界上有超过八十万个人讲巴斯克话,世界上有超过八十万人讲巴斯克文,0.125
135,你厘比我还高哩,你高过我,0.7142857142857143
136,你好啊伐,你点呀,0.75
137,你厘訾那就冇相信我呢,你点解唔信我呀,0.7
138,渠个爸妈对渠期望忒高,佢阿爸阿妈对佢期望过高,0.45454545454545453
139,覅靠墙上赖,唔好挨埋埲墙度,1.0
